,number,radical,variants,simplifiedradical,pinyin,english,strokecount,char,ucn,kDefinition
163,164,酉,,,you3,wine,7,酉,U+9149,a wine vessel; 10th terrestrial branch; Kangxi radical 164
164,165,釆,,,bian4,distin­guish,7,釆,U+91C6,distinguish; Kangxi radical 165
165,166,里,,,li3,village,7,里,U+91CC,unit of distance; village; lane; Kangxi radical 166
166,167,金,,,jin1,gold,8,金,U+91D1,gold; metals in general; money; Kangxi radical 167
167,168,長,,长,chang2,long,8,長,U+9577,long; length; excel in; leader; Kangxi radical 168
168,170,阜,阝 (left),,fu4,mound,8,阜,U+961C,"mound; abundant, ample, numerous; Kangxi radical 170"
169,171,隶,,,dai4,slave,8,隶,U+96B6,subservient; servant; Kangxi radical 171
170,172,隹,,,zhui1,short tailed bird,8,隹,U+96B9,short-tailed bird; Kangxi radical 172
171,173,雨,,,yu3,rain,8,雨,U+96E8,rain; rainy; Kangxi radical 173
172,174,青,,,qing1,blue,8,青,U+9752,"blue, green; young; Kangxi radical 174"
173,175,非,,,fei1,wrong,8,非,U+975E,"not, negative, non-; oppose; Kangxi radical 175"
174,169,門,,门,men2,gate,8,門,U+9580,"gate, door, entrance, opening; Kangxi radical 169"
175,182,風,,风,feng1,wind,9,風,U+98A8,"wind; air; manners, atmosphere; Kangxi radical 182"
176,177,革,,,ge2,leather,9,革,U+9769,"leather, animal hides; Kangxi radical 177"
177,179,韭,,,jiu3,leek,9,韭,U+97ED,"scallion, leek; Kangxi radical 179"
178,180,音,,,yin1,sound,9,音,U+97F3,"sound, tone, pitch, pronunciation; Kangxi radical 180"
179,181,頁,,页,ye4,leaf,9,頁,U+9801,"page, sheet, leaf; Kangxi radical 181"
180,176,面,,,mian4,face,9,面,U+9762,"face; surface; plane; side, dimension; Kangxi radical 176"
181,183,飛,,飞,fei1,fly,9,飛,U+98DB,fly; go quickly; dart; high; Kangxi radical 183
182,184,食,飠,饣,shi2,eat,9,食,U+98DF,eat; meal; food; Kangxi radical 184
183,185,首,,,shou3,head,9,首,U+9996,"head; first; leader, chief; a poem; Kangxi radical 185"
184,186,香,,,xiang1,fragrant,9,香,U+9999,"fragrant, sweet-smelling; incense; Kangxi radical 186"
185,178,韋,,韦,wei2,tanned leather,9,韋,U+97CB,tanned leather; surname; Kangxi radical 178
186,187,馬,,马,ma3,horse,10,馬,U+99AC,horse; surname; Kangxi radical 187
187,188,骨,,,gu3,bone,10,骨,U+9AA8,"bone; skeleton; frame, framework; Kangxi radical 188"
188,189,高,,,gao1,tall,10,高,U+9AD8,"high, tall; lofty, elevated; Kangxi radical 189"
189,190,髟,,,biao1,hair,10,髟,U+9ADF,hair; Kangxi radical 190
190,191,鬥,,,dou4,fight,10,鬥,U+9B25,"struggle, fight, compete, contend; Kangxi radical 191"
191,192,鬯,,,chang4,sacri­ficial wine,10,鬯,U+9B2F,sacrificial wine; unhindered; Kangxi radical 192
192,193,鬲,,,li4,caul­dron,10,鬲,U+9B32,type of caldron with three hollow legs; name of a state; Kangxi radical 193
193,194,鬼,,,gui3,ghost,10,鬼,U+9B3C,ghost; spirit of dead; devil; Kangxi radical 194
194,195,魚,,鱼,yu2,fish,11,魚,U+9B5A,fish; surname; Kangxi radical 195
195,197,鹵,,,lu3,salt,11,鹵,U+9E75,"saline soil; natural salt, rock salt; Kangxi radical 197"
196,198,鹿,,,lu4,deer,11,鹿,U+9E7F,deer; surname; Kangxi radical 198
197,199,麥,,麦,mai4,wheat,11,麥,U+9EA5,"wheat, barley, oats; Kangxi radical 199"
198,200,麻,,,ma2,hemp,11,麻,U+9EBB,"hemp, jute, flax; sesame; Kangxi radical 200"
199,196,鳥,,鸟,niao3,bird,11,鳥,U+9CE5,bird; Kangxi radical 196
200,201,黃,,,huang2,yellow,12,黃,U+9EC3,yellow; surname; Kangxi radical 201
201,202,黍,,,shu3,millet,12,黍,U+9ECD,glutinous millet; Kangxi radical 202
202,203,黑,,,hei1,black,12,黑,U+9ED1,"black; dark; evil, sinister; Kangxi radical 203"
203,204,黹,,,zhi3,embroi­dery,12,黹,U+9EF9,"embroidery, needlework; Kangxi radical 204"
204,205,黽,,黾,min3,frog,13,黽,U+9EFD,to strive; to endeavor; Kangxi radical 205
205,206,鼎,,,ding3,tripod,13,鼎,U+9F0E,"large, three-legged bronze caldron; Kangxi radical 206"
206,207,鼓,,,gu3,drum,13,鼓,U+9F13,"drum; beat, top, strike; Kangxi radical 207"
207,208,鼠,,鼡,shu3,rat,13,鼠,U+9F20,"rat, mouse; Kangxi radical 208"
208,209,鼻,,,bi2,nose,14,鼻,U+9F3B,nose; first; Kangxi radical 209
209,210,齊,,齐,qi2,even,14,齊,U+9F4A,"even, uniform, of equal length; Kangxi radical 210"
210,211,齒,,齿,chi3,tooth,15,齒,U+9F52,"teeth; gears, cogs; age; Kangxi radical 211"
211,212,龍,,龙,long2,dragon,16,龍,U+9F8D,dragon; Kangxi radical 212
212,213,龜,,龟,gui1,turtle,16,龜,U+9F9C,turtle or tortoise; cuckold; Kangxi radical 213
213,214,龠,,,yue4,flute,17,龠,U+9FA0,"flute; pipe, ancient measure; Kangxi radical 214"
