,char,IndvRawFrequency,cumulativeRawFrequency,Pinyin,English,kDefinition,kHanyuPinyin,kMandarin,kTotalStrokes,kSimplifiedVariant,ucn
487,尽,84270,75.292083599008,jin3/jin4,"to the utmost, to use up/to exhaust/to end/to finish/to the utmost/exhausted/finished/to the limit (of sth)","exhaust, use up; deplete","20966.020:jìn,jǐn",jǐn,6,U+5C3D,U+5C3D
488,另,83702,75.33533954835,ling4,other/another/separate/separately,"another, separate, other",10574.050:lìng,lìng,5,,U+53E6
489,周,83366,75.378421857886,zhou1,"(surname)/complete/encircle/circuit/lap/week/cycle/all/every/attentive/thoughtful, bestow alms, cycle/week",Zhou dynasty; circumference,10606.030:zhōu,zhōu,8,,U+5468
490,较,82870,75.421247841996,jiao4,clear/distinct/compare/comparatively,"compare; comparatively, more",,jiào,10,,U+8F83
491,注,82869,75.46407330932,zhu4,"to inject/to pour into/to concentrate/to pay attention/to note/to comment on/to record/to register/to annotate, annotate","concentrate, focus, direct","31592.010:zhù,zhòu",zhù,8,U+6CE8,U+6CE8
492,语,82805,75.506865702396,yu3/yu4,"dialect/language/speech, tell to","language, words; saying, expression",,yǔ,9,,U+8BED
493,仅,82729,75.549618819801,jin3,barely/only/merely,"only, merely, solely, just","10110.040:fù,nú,jǐn",jǐn,4,U+4EC5,U+4EC5
494,考,82688,75.592350749016,kao3,to check/to verify/to test/to examine,"examine, test; investigate",42779.020:kǎo,kǎo,6,,U+8003
495,落,82641,75.63505838933,la4/luo4,"leave behind, alight/to fall/to drop (behind)","fall, drop; net income, surplus","53255.080:luò,là,lào,luō",luò,12,,U+843D
496,青,82619,75.677754660371,qing1,"green (blue, black)","blue, green; young; Kangxi radical 174","64046.010:qīng,jīng",qīng,8,,U+9752
497,随,82599,75.720440595709,sui2,to follow/to comply with/to allow/(surname),"follow, listen to, submit to",,suí,11,U+968F,U+968F
498,选,82498,75.763074335748,xuan3,to choose/to pick/to select/to elect,"choose, select; elect; election",,xuǎn,9,U+9009,U+9009
499,列,82418,75.805666732977,lie4,to arrange/to line up/row/file/series,"a line; to arrange in order, classify","10325.050:liè,lì",liè,6,,U+5217
500,武,81863,75.847972314456,wu3,martial/military,"military; martial, warlike",21439.050:wǔ,wǔ,8,,U+6B66
501,红,81852,75.890272211298,hong2,bonus/popular/red/revolutionary,"red, vermillion; blush, flush",,hóng,6,,U+7EA2
502,响,81702,75.932494590371,xiang3,to make a sound/to sound/to ring/(a measure word for sound)/loud,"make sound, make noise; sound",,xiǎng,9,U+54CD,U+54CD
503,虽,81097,75.974404314437,sui1,although/even though,"although, even if",,suī,9,,U+867D
