,Component,Strokes,CompositionType,LeftComponent,LeftStrokes,RightComponent,RightStrokes,Signature,Notes,Section
0,一,1,一,一,1,*,0,M,/,*
1,丁,2,吕,一,1,亅,1,MN,/,一
3,七,2,一,七,2,*,0,JU,/,一
7,万,3,一,万,3,*,0,MS,/,一
8,丈,3,一,丈,3,*,0,JK,/,一
9,三,3,回,二,2,一,1,MMM,/,一
10,上,3,一,上,3,*,0,YM,/,一
11,下,3,吕,一,1,卜,2,MY,/,一
13,不,4,一,不,4,*,0,MF,/,一
14,与,4,一,与,4,*,0,YSM,/,一
16,丐,4,一,丐,4,*,0,MYVS,/,一
17,丑,4,一,丑,4,*,0,NG,/,一
19,专,4,一,专,4,*,0,QNI,/,一
20,且,5,一,且,5,*,0,BM,/,一
21,丕,5,吕,不,4,一,1,MFM,/,一
22,世,4,一,世,4,*,0,PT,/,一
24,丘,5,一,丘,5,*,0,OM,/,一
25,丙,5,吕,一,1,内,4,MOB,/,一
26,业,5,一,业,5,*,0,TC,/,一
27,丛,5,咒,人,2,一,1,OOM,/,一
28,东,5,一,东,5,*,0,KD,/,一
29,丝,5,一,丝,5,*,0,VVM,/,一
30,丞,6,吕,氶,5,一,1,NEM,/,一
34,丢,6,吕,壬,4,厶,2,HGI,/,一
36,两,7,一,两,7,*,0,MOOB,/,一
37,严,7,一,严,7,*,0,MTCH,/,一
39,丧,8,一,丧,8,*,0,GCV,/,一
42,个,3,吕,人,2,丨,1,OL,/,丨
43,丫,3,一,丫,3,*,0,CL,/,丨
45,中,4,+,口,3,丨,1,L,/,丨
48,丰,4,一,丰,4,*,0,QJ,/,丨
50,串,7,+,吕,6,丨,1,LL,/,丨
52,临,9,吅,丩,2,2丶4,7,LLOA,/?,丨
56,丸,3,+,九,2,丶,1,KNI,/,丶
57,丹,4,一,丹,4,*,0,BY,/,丶
58,为,4,+,力,2,丷,2,IKSI,/,丶
59,主,5,+,丶,1,王,4,YG,/,丶
61,丽,7,吕,一,1,卪卪,6,MBIB,/?,丶
62,举,9,吕,兴,6,㐄,3,FCQ,/*,丶
67,乃,2,一,乃,2,*,0,NHS,/,丿
69,久,3,一,久,3,*,0,NO,/,丿
71,乇,3,吕,丿,1,七,2,HP,/,丿
72,么,3,吕,丿,1,厶,2,HI,/,丿
73,义,3,+,乂,2,丶,1,IK,/,丿
75,之,3,一,之,3,*,0,INO,/,丿
76,乌,4,一,乌,4,*,0,PVSM,/,丿
77,乍,5,一,乍,5,*,0,OS,/,丿
78,乎,5,一,乎,5,*,0,HFD,/,丿
79,乏,4,吕,丿,1,之,3,HINO,/,丿
80,乐,5,一,乐,5,*,0,HVD,/,丿
82,乒,6,+,丘,5,丿,1,OMH,/,丿
83,乓,6,+,丘,5,丶,1,OMI,/,丿
84,乔,6,吕,丿,1,夰,5,HKLL,/,丿
86,乖,8,+,千,3,北,5,HJLP,/,丿
88,乘,10,+,禾,5,北,5,HDLP,/,丿
89,乙,1,一,乙,1,*,0,NU,/,*
92,乜,2,一,乜,2,*,0,PS,/,乙
93,九,2,一,九,2,*,0,KN,/,乙
94,乞,3,吕,𠂉,2,乙,1,ON,?/,乙
95,也,3,+,乜,2,丨,1,PD,/,乙
96,习,3,一,习,3,*,0,SIM,/,乙
97,乡,3,一,乡,3,*,0,VVH,/,乙
102,书,4,一,书,4,*,0,IDS,/,乙
105,乩,6,吅,占,5,乚,1,YRU,/,乙
112,买,6,吕,乛,1,头,5,NYK,/,乙
113,乱,7,吅,舌,6,乚,1,HRU,/,乙
115,乳,8,吅,孚,7,乚,1,BDU,/,乙
126,乾,10,吅,車,7,乞,3,JJON,/,乙
134,了,2,一,了,2,*,0,NN,/,亅
136,予,4,吕,龴,2,丁,2,NINN,/,亅
137,争,6,吕,𠂊,2,肀,4,NSD,?/,亅
139,事,8,一,事,8,*,0,JLLN,/,亅
140,二,2,一,二,2,*,0,MM,/,*
142,于,3,+,二,2,亅,1,MD,/,二
143,亏,3,吕,一,1,丂,2,MMVS,/,二
145,云,4,吕,二,2,厶,2,MMI,/,二
146,互,4,吕,一,1,彑,3,MVNM,/,二
147,亓,4,吕,二,2,儿*,2,MML,/?,二
148,五,4,一,五,4,*,0,MDM,/,二
149,井,4,一,井,4,*,0,TT,/,二
152,亘,6,回,二,2,日,4,MAM,/,二
154,亚,6,一,亚,6,*,0,MTC,/,二
155,些,8,吕,此,6,二,2,YPMM,/,二
159,亟,8,回,二,2,口勹 又,6,NEM,/?,二
161,亡,3,+,亠,2,乚,1,YV,/,亠
162,亢,4,吕,亠,2,几,2,YHN,/,亠
164,交,6,吕,亠,2,父,4,YCK,/,亠
165,亥,6,吕,亠,2,?人,4,YVHO,/?,亠
166,亦,6,一,亦,6,*,0,YLNC,/,亠
167,产,6,吕,六,4,厂,2,YTH,*/,亠
168,亨,7,吕,亠口,5,了,2,YRNN,?/,亠
169,亩,7,吕,亠,2,田,5,YW,/,亠
171,享,8,吕,亠口,5,子,3,YRND,?/,亠
172,京,8,吕,亠口,5,小,3,YRF,?/,亠
173,亭,9,冖,亠口,5,丁,2,YRBN,?/,亠
174,亮,9,冖,亠口,5,儿,2,YRBU,?/,亠
178,亲,9,吕,立,5,朩,4,YTD,/,亠
179,亳,10,冖,亠口,5,乇,3,YRBP,?/,亠
181,亵,12,回,衣,6,执,6,YQIV,/,亠
186,人,2,一,人,2,*,0,O,/,*
191,亿,3,吅,亻,2,乙,1,ON,/,人
192,什,4,吅,亻,2,十,2,OJ,/,人
193,仁,4,吅,亻,2,二,2,OMM,/,人
194,仂,4,吅,亻,2,力,2,OKS,/,人
195,仃,4,吅,亻,2,丁,2,OMN,/,人
196,仄,4,吕,厂,2,人,2,MO,/,人
197,仅,4,吅,亻,2,又,2,OE,/,人
198,仆,4,吅,亻,2,卜,2,OY,/,人
199,仇,4,吅,亻,2,九,2,OKN,/,人
201,仉,4,吅,亻,2,几,2,OHN,/,人
202,今,4,吕,亼,3,㇇,1,OIN,/,人
203,介,4,吕,人,2,儿*,2,OLL,/?,人
205,仍,4,吅,亻,2,乃,2,ONHS,/,人
206,从,4,吅,人,2,*,2,OO,/,人
209,仑,4,吕,人,2,匕,2,OP,/,人
211,仓,4,吕,人,2,㔾,2,OSU,/,人
212,仔,5,吅,亻,2,子,3,OND,/,人
213,仕,5,吅,亻,2,士,3,OG,/,人
214,他,5,吅,亻,2,也,3,OPD,/,人
215,仗,5,吅,亻,2,丈,3,OJK,/,人
216,付,5,吅,亻,2,寸,3,ODI,/,人
217,仙,5,吅,亻,2,山,3,OU,/,人
221,仝,5,吕,人,2,工,3,OM,/,人
222,仞,5,吅,亻,2,刃,3,OSHI,/,人
223,仟,5,吅,亻,2,千,3,OHJ,/,人
225,仡,5,吅,亻,2,乞,3,OON,/,人
227,代,5,吅,亻,2,弋,3,OIP,/,人
228,令,5,吕,亼,3,龴,2,OINI,/,人
229,以,5,吅,厶,2,人,2,VIO,*/,人
232,仨,5,吅,亻,2,三,3,OMMM,/,人
234,仪,5,吅,亻,2,义,3,OIK,/,人
235,仫,5,吅,亻,2,么,3,OHI,/,人
236,们,5,吅,亻,2,门,3,OLS,/,人
240,仰,6,吅,亻,2,卬,4,OHVL,/,人
242,仲,6,吅,亻,2,中,4,OL,/,人
243,仳,6,吅,亻,2,比,4,OPP,/,人
245,仵,6,吅,亻,2,午,4,OOJ,/,人
246,件,6,吅,亻,2,牛,4,OHQ,/,人
247,价,6,吅,亻,2,介,4,OOLL,/,人
251,任,6,吅,亻,2,壬,4,OHG,/,人
253,份,6,吅,亻,2,分,4,OCSH,/,人
255,仿,6,吅,亻,2,方,4,OYHS,/,人
257,企,6,吕,人,2,止,4,OYLM,/,人
265,伉,6,吅,亻,2,亢,4,OYHN,/,人
266,伊,6,吅,亻,2,尹,4,OSK,/,人
269,伍,6,吅,亻,2,五,4,OMDM,/,人
270,伎,6,吅,亻,2,支,4,OJE,/,人
271,伏,6,吅,亻,2,犬,4,OIK,/,人
272,伐,6,吅,亻,2,戈,4,OI,/,人
273,休,6,吅,亻,2,木,4,OD,/,人
279,众,6,品,人,2,*,4,OOO,/,人
280,优,6,吅,亻,2,尤,4,OIKU,/,人
281,伙,6,吅,亻,2,火,4,OF,/,人
282,会,6,吕,亼,3,𠫔,3,OMMI,/,人
283,伛,6,吅,亻,2,区,4,OSK,/,人
286,伞,6,吕,人,2,丷十,4,OFJ,/?,人
287,伟,6,吅,亻,2,韦,4,OQS,/,人
288,传,6,吅,亻,2,专,4,OQNI,/,人
290,伢,6,吅,亻,2,牙,4,OMVH,/,人
292,伤,6,回,𠆧,4,力,2,OOKS,/,人
293,伥,6,吅,亻,2,长,4,OPO,/,人
294,伦,6,吅,亻,2,仑,4,OOP,/,人
295,伧,6,吅,亻,2,仓,4,OOSU,/,人
298,伪,6,吅,亻,2,为,4,OIKS,/,人
299,伫,6,吅,亻,2,㝉,4,OJM,/,人
303,伯,7,吅,亻,2,白,5,OHA,/,人
304,估,7,吅,亻,2,古,5,OJR,/,人
306,伲,7,吅,亻,2,尼,5,OSP,/,人
308,伴,7,吅,亻,2,半,5,OFQ,/,人
310,伶,7,吅,亻,2,令,5,OOII,/,人
312,伸,7,吅,亻,2,申,5,OLWL,/,人
314,伺,7,吅,亻,2,司,5,OSMR,/,人
316,似,7,吅,亻,2,以,5,OVIO,/,人
317,伽,7,吅,亻,2,加,5,OKSR,/,人
323,佃,7,吅,亻,2,田,5,OW,/,人
326,但,7,吅,亻,2,旦,5,OAM,/,人
333,位,7,吅,亻,2,立,5,OYT,/,人
334,低,7,吅,亻,2,氐,5,OHVI,/,人
335,住,7,吅,亻,2,主,5,OYG,/,人
336,佐,7,吅,亻,2,左,5,OKM,/,人
337,佑,7,吅,亻,2,右,5,OKR,/,人
339,体,7,吅,亻,2,本,5,ODM,/,人
341,何,7,吅,亻,2,可,5,OMNR,/,人
343,佗,7,吅,亻,2,它,5,OJP,/,人
344,佘,7,吕,人,2,示,5,OMMF,/,人
345,余,7,吕,亼,3,朩,4,OMD,/,人
346,佚,7,吅,亻,2,失,5,OHQO,/,人
347,佛,7,吅,亻,2,弗,5,OLLN,/,人
348,作,7,吅,亻,2,乍,5,OOS,/,人
349,佝,7,吅,亻,2,句,5,OPR,/,人
350,佞,7,回,仁,4,女,3,OMMV,/,人
351,佟,7,吅,亻,2,冬,5,OHEY,/,人
352,你,7,吅,亻,2,尔,5,ONF,/,人
355,佣,7,吅,亻,2,用,5,OBQ,/,人
356,佤,7,吅,亻,2,瓦,5,OMVN,/,人
357,佥,7,吕,亼,3,小一,4,OMFM,/?,人
359,佧,7,吅,亻,2,卡,5,OYMY,/,人
361,佩,8,吅,亻,2,凧,6,OHNB,/,人
364,佬,8,吅,亻,2,老,6,OJKP,/,人
367,佯,8,吅,亻,2,羊,6,OTQ,/,人
368,佰,8,吅,亻,2,百,6,OMA,/,人
371,佳,8,吅,亻,2,圭,6,OGG,/,人
372,佴,8,吅,亻,2,耳,6,OSJ,/,人
374,佶,8,吅,亻,2,吉,6,OGR,/,人
379,佻,8,吅,亻,2,兆,6,OLMO,/,人
380,佼,8,吅,亻,2,交,6,OYCK,/,人
382,佾,8,吅,亻,2,䏌,6,OCB,/,人
383,使,8,吅,亻,2,吏,6,OJLK,/,人
387,侃,8,吅,亻,2,口川,6,ORHU,/?,人
388,侄,8,吅,亻,2,至,6,OMIG,/,人
392,侈,8,吅,亻,2,多,6,ONIN,/,人
393,侉,8,吅,亻,2,夸,6,OKMS,/,人
395,例,8,吅,亻,2,列,6,OMNN,/,人
397,侍,8,吅,亻,2,寺,6,OGDI,/,人
399,侏,8,吅,亻,2,朱,6,OHJD,/,人
401,侑,8,吅,亻,2,有,6,OKB,/,人
404,侔,8,吅,亻,2,牟,6,OIHQ,/,人
407,侗,8,吅,亻,2,同,6,OBMR,/,人
411,供,8,吅,亻,2,共,6,OTC,/,人
413,依,8,吅,亻,2,衣,6,OYHV,/,人
416,侠,8,吅,亻,2,夹,6,OKT,/,人
419,侣,8,吅,亻,2,吕,6,ORR,/,人
421,侥,8,吅,亻,2,尧,6,OJPU,/,人
422,侦,8,吅,亻,2,贞,6,OYBO,/,人
423,侧,8,吅,亻,2,则,6,OBON,/,人
424,侨,8,吅,亻,2,乔,6,OHKL,/,人
425,侩,8,吅,亻,2,会,6,OOMI,/,人
426,侪,8,吅,亻,2,齐,6,OYKL,/,人
428,侬,8,吅,亻,2,农,6,OHBV,/,人
430,侮,9,吅,亻,2,每,7,OOWY,/,人
431,侯,9,吅,亻,2,2矢,7,ONMK,/?,人
437,侵,9,吅,亻,2,𠬶,7,OSME,/,人
447,便,9,吅,亻,2,更,7,OMLK,/,人
451,促,9,吅,亻,2,足,7,ORYO,/,人
452,俄,9,吅,亻,2,我,7,OHQI,/,人
453,俅,9,吅,亻,2,求,7,OIJE,/,人
458,俊,9,吅,亻,2,夋,7,OICE,/,人
462,俎,9,吅,仌,4,且,5,OOBM,/,人
463,俏,9,吅,亻,2,肖,7,OFB,/,人
464,俐,9,吅,亻,2,利,7,OHDN,/,人
465,俑,9,吅,亻,2,甬,7,ONIB,/,人
471,俗,9,吅,亻,2,谷,7,OCOR,/,人
472,俘,9,吅,亻,2,孚,7,OBND,/,人
474,俚,10,吅,亻,2,里,8,OWG,/,人
476,俜,9,吅,亻,2,甹,7,OLWS,/,人
477,保,9,吅,亻,2,呆,7,ORD,/,人
478,俞,9,吕,亼,3,刖,6,OMBN,/,人
479,俟,9,吅,亻,2,矣,7,OIOK,/,人
481,信,9,吅,亻,2,言,7,OYMR,/,人
483,俣,9,吅,亻,2,吴,7,ORMK,/,人
486,俦,9,吅,亻,2,寿,7,OQKI,/,人
488,俨,9,吅,亻,2,严,7,OMTH,/,人
489,俩,9,吅,亻,2,两,7,OMOB,/,人
490,俪,9,吅,亻,2,丽,7,OMBB,/,人
493,俭,9,吅,亻,2,佥,7,OOMM,/,人
494,修,10,回,攸,7,彡,3,OLOH,?/,人
495,俯,10,吅,亻,2,府,8,OIOI,/,人
497,俱,10,吅,亻,2,具,8,OBMC,/,人
499,俳,10,吅,亻,2,非,8,OLMY,/,人
504,俸,10,吅,亻,2,奉,8,OQKQ,/,人
506,俺,10,吅,亻,2,奄,8,OKLU,/,人
510,俾,10,吅,亻,2,卑,8,OHWJ,/,人
524,倌,10,吅,亻,2,官,8,OJRR,/,人
525,倍,10,吅,亻,2,咅,8,OYTR,/,人
527,倏,11,回,攸,7,犬,4,OLOK,/,人
530,倒,10,吅,亻,2,到,8,OMGN,/,人
532,倔,10,吅,亻,2,屈,8,OSUU,/,人
536,倘,10,吅,亻,2,尚,8,OFBR,/,人
537,候,10,吅,亻,2,侯,8,OLNK,/*,人
538,倚,10,吅,亻,2,奇,8,OKMR,/,人
540,倜,10,吅,亻,2,周,8,OBGR,/,人
543,借,10,吅,亻,2,昔,8,OTA,/,人
545,倡,10,吅,亻,2,昌,8,OAA,/,人
549,倥,10,吅,亻,2,空,8,OJCM,/,人
550,倦,10,吅,亻,2,卷,8,OFQU,/,人
552,倨,10,吅,亻,2,居,8,OSJR,/,人
553,倩,10,吅,亻,2,靑,8,OQMB,/,人
554,倪,10,吅,亻,2,兒,8,OHXU,/,人
556,倬,10,吅,亻,2,卓,8,OYAJ,/,人
557,倭,10,吅,亻,2,委,8,OHDV,/,人
558,倮,11,吅,亻,2,果,9,OWD,/,人
570,债,10,吅,亻,2,责,8,OQMO,/,人
572,值,10,吅,亻,2,直,8,OJBM,/,人
574,倾,10,吅,亻,2,顷,8,OPMO,/,人
579,偃,11,吅,亻,2,匽,9,OSAV,/,人
583,假,11,吅,亻,2,叚,9,ORSE,/,人
584,偈,11,吅,亻,2,曷,9,OAPV,/,人
588,偌,10,吅,亻,2,若,8,OTKR,/,人
590,偎,11,吅,亻,2,畏,9,OWMV,/,人
591,偏,11,吅,亻,2,扁,9,OISB,/,人
597,偕,11,吅,亻,2,皆,9,OPPA,/,人
602,做,11,吅,亻,2,故,9,OJRK,/,人
604,停,11,吅,亻,2,亭,9,OYRN,/,人
613,健,11,吅,亻,2,建,9,ONKQ,/,人
620,偬,11,吅,亻,2,怱,9,OPKP,/,人
630,偶,11,吅,亻,2,禺,9,OWLB,/,人
631,偷,11,吅,亻,2,俞,9,OOMN,/,人
635,偻,11,吅,亻,2,娄,9,OFDV,/,人
638,偾,11,吅,亻,2,贲,9,OJTO,/,人
639,偿,11,吅,亻,2,尝,9,OFBI,/,人
640,傀,12,吅,亻,2,鬼,10,OHUI,/,人
645,傅,12,吅,亻,2,尃,10,OIBI,/,人
648,傈,12,吅,亻,2,栗,10,OMWD,/,人
653,傍,12,吅,亻,2,旁,10,OYBS,/,人
675,傣,12,吅,亻,2,泰,10,OQKE,/,人
677,傥,12,吅,亻,2,党,10,OFBU,/,人
679,傧,12,吅,亻,2,宾,10,OJOC,/,人
680,储,12,吅,亻,2,诸,10,OIVA,/,人
681,傩,12,吅,亻,2,难,10,OEOG,/,人
684,催,13,吅,亻,2,崔,11,OUOG,/,人
690,傲,13,吅,亻,2,敖,11,OQSK,/,人
698,傺,13,吅,亻,2,祭,11,OBOF,/,人
699,傻,13,吅,亻,2,<夓,11,OHCE,/?,人
719,像,14,吅,亻,2,象,12,ONAO,/,人
726,僖,14,吅,亻,2,喜,12,OGRR,/,人
730,僚,14,吅,亻,2,尞,12,OKCF,/,人
742,僦,14,吅,亻,2,就,12,OYFU,/,人
743,僧,13,吅,亻,2,曽,11,OCWA,/,人
748,僬,14,吅,亻,2,焦,12,OOGF,/,人
749,僭,14,吅,亻,2,朁,12,OMUA,/,人
750,僮,15,吅,亻,2,童,13,OYTG,/,人
755,僳,14,吅,亻,2,粟,12,OMWD,/,人
757,僵,15,吅,亻,2,畺,13,OMWM,/,人
763,僻,15,吅,亻,2,辟,13,OSRJ,/,人
774,儆,14,吅,亻,2,敬,12,OTRK,/,人
775,儇,15,吅,亻,2,睘,13,OWLV,/,人
779,儋,15,吅,亻,2,詹,13,ONCR,/,人
786,儒,16,吅,亻,2,需,14,OMBB,/,人
801,儡,17,吅,亻,2,畾,15,OWWW,/,人
831,儿,2,一,儿,2,*,0,LU,/,*
832,兀,3,吕,一,1,儿,2,MU,/,儿
833,允,4,吕,厶,2,儿,2,IHU,/,儿
835,元,4,吕,一,1,兀,3,MMU,/,儿
836,兄,5,吕,口,3,儿,2,RHU,/,儿
837,充,6,吕,亠,2,允,4,YIHU,/,儿
838,兆,6,一,兆,6,*,0,LMUO,/,儿
840,先,6,吕,牛,4,儿,2,HGHU,/,儿
841,光,6,吕,⺌,3,兀,3,FMU,/,儿
843,克,7,吕,古,5,儿,2,JRHU,/,儿
845,免,7,一,免,7,*,0,NAHU,/,儿
849,兑,7,吕,丷,2,兄,5,CRHU,/,儿
852,兔,8,+,免,7,丶,1,NAHI,/,儿
853,兕,8,吕,凹,6,儿,2,SSUU,/,儿
854,兖,8,吕,六,4,允,4,YCIHU,/,儿
858,党,10,冖,小,3,兄,5,FBRHU,/,儿
860,兜,11,吕,?,9,儿,2,HVHU,?/,儿
866,兢,14,吅,克,7,*,7,JUJRU,/,儿
869,入,2,一,入,2,*,0,OH,/,*
872,全,6,吕,入,2,王,4,OMG,/,入
875,八,2,一,八,2,*,0,HO,/,*
876,公,4,吕,八,2,厶,2,CI,/,八
877,六,4,吕,亠,2,八,2,YC,/,八
878,兮,4,吕,八,2,丂,2,CMVS,/,八
880,兰,5,吕,丷,2,三,3,TMM,/,八
881,共,6,吕,廿,4,廾,2,TC,*/*,八
883,关,6,吕,丷,2,天,4,TK,/,八
884,兴,6,一,兴,6,*,0,FMC,/,八
885,兵,7,吕,丘,5,八,2,OMC,/,八
886,其,8,一,其,8,*,0,TMMC,/,八
887,具,8,+,貝,7,一,1,BMMC,/,八
888,典,8,一,典,8,*,0,TBC,/,八
889,兹,9,吕,䒑,3,𢆶,6,TVII,/,八
891,养,9,+,𦍌,6,介,4,TOLL,*/*,八
892,兼,10,一,兼,10,*,0,TXC,/,八
893,兽,11,吕,八田,7,𠮛,4,CWMR,?/,八
896,冀,16,吕,北,5,異,11,LPWTC,/,八
897,冁,18,吅,单,8,展,10,CJSTV,/,八
901,内,4,+,冂,2,人,2,OB,/,冂
904,冈,4,回,冂,2,乂,2,BK,/,冂
905,冉,5,+,冂,2,土,3,GB,/,冂
908,册,5,一,册,5,*,0,BBM,/,冂
909,再,6,吕,一,1,冉,5,MGB,/,冂
914,冒,9,吕,冃,4,目,5,ABU,/,冂
917,冕,11,吕,冃,4,免,7,ANAU,/,冂
919,冗,4,吕,冖,2,几,2,BHN,/,冖
921,写,6,吕,冖,2,与,4,BYSM,/,冖
923,军,6,吕,冖,2,车,4,BKQ,/,冖
924,农,6,一,农,6,*,0,HBV,/,冖
928,冠,9,吕,冖,2,㝴,7,BMUI,/,冖
930,冢,10,吕,冖,2,豖,8,BMSO,/,冖
932,冤,10,吕,冖,2,兔,8,BNAI,/,冖
933,冥,10,吕,冖,2,昗,8,BAYC,/,冖
940,冬,5,吕,夂,3,冫,2,HEY,/,冫
943,冯,5,吅,冫,2,马,3,IMNVM,/,冫
944,冰,6,吅,冫,2,水,4,IME,/,冫
945,冱,6,吅,冫,2,互,4,IMMVM,/,冫
946,冲,6,吅,冫,2,中,4,IML,/,冫
947,决,6,吅,冫,2,夬,4,IMDK,/,冫
949,况,7,吅,冫,2,兄,5,IMRHU,/,冫
950,冶,7,吅,冫,2,台,5,IMIR,/,冫
951,冷,7,吅,冫,2,令,5,IMOII,/,冫
955,冻,7,吅,冫,2,东,5,IMKD,/,冫
956,冼,8,吅,冫,2,先,6,IMHGU,/,冫
957,冽,8,吅,冫,2,列,6,IMMNN,/,冫
960,净,8,吅,冫,2,争,6,IMNSD,/,冫
964,凄,10,吅,冫,2,妻,8,IMJLV,/,冫
966,准,10,吅,冫,2,隹,8,IMOG,/,冫
967,凇,10,吅,冫,2,松,8,IMDCI,/,冫
969,凉,10,吅,冫,2,京,8,IMYRF,/,冫
971,凋,10,吅,冫,2,周,8,IMBGR,/,冫
972,凌,10,吅,冫,2,夌,8,IMGCE,/,冫
975,减,11,吅,冫,2,咸,9,IMIHR,/,冫
977,凑,11,吅,冫,2,奏,9,IMQKK,/,冫
987,凛,15,吅,冫,2,禀,13,IMYWF,/,冫
989,凝,16,吅,冫,2,疑,14,IMPKO,/,冫
992,几,2,一,几,2,*,0,HN,/,*
993,凡,3,回,几,2,丶,1,HNI,/,几
996,凤,4,回,几,2,又,2,HNE,/,几
1003,凫,6,吕,乌,4,几,2,PYSN,*/,几
1005,凭,8,吕,任,6,几,2,OGHN,/,几
1007,凯,8,吅,岂,6,几,2,UUHN,/,几
1008,凰,11,回,几,2,皇,9,HNHAG,/,几
1011,凳,14,吕,登,12,几,2,NTHN,/,几
1014,凶,4,回,凵,2,乂,2,UK,/,凵
1016,凸,5,一,凸,5,*,0,BSS,/,凵
1017,凹,6,一,凹,2,*,4,SSU,/,凵
1018,出,5,+,屮,2,凵,3,UU,/,凵
1019,击,5,回,凵,2,扌,3,QU,/?,凵
1020,凼,6,回,凵,2,水,4,UE,/,凵
1021,函,8,一,函,8,*,0,UNE,/,凵
1023,凿,12,吕,丵,10,凵,2,TCTU,/,凵
1024,刀,2,一,刀,2,*,0,SH,/,*
1025,刁,2,+,𠃌,1,丿,1,SM,/,刀
1027,刃,3,+,刀,2,丶,1,SHI,/,刀
1030,分,4,吕,八,2,刀,2,CSH,/,刀
1031,切,4,吅,七,2,刀,2,PSH,/,刀
1032,刈,4,吅,乂,2,刂,2,KLN,/,刀
1034,刊,5,吅,干,3,刂,2,MJLN,/,刀
1037,刍,5,吕,⺈,2,彐,3,NSM,/,刀
1038,刎,6,吅,勿,4,刂,2,PHLN,/,刀
1041,刑,6,吅,开,4,刂,2,MTLN,/,刀
1042,划,6,吅,戈,4,刂,2,ILN,/,刀
1046,刖,6,吅,月,4,刂,2,BLN,/,刀
1047,列,6,吅,歹,4,刂,2,MNLN,/,刀
1048,刘,6,吅,文,4,刂,2,YKLN,/,刀
1049,则,6,吅,贝,4,刂,2,BOLN,/,刀
1050,刚,6,吅,冈,4,刂,2,BKLN,/,刀
1051,创,6,吅,仓,4,刂,2,OULN,/,刀
1053,初,7,吅,衤,5,刀,2,LSH,/,刀
1056,删,7,吅,册,5,刂,2,BMLN,/,刀
1060,判,7,吅,半,5,刂,2,FQLN,/,刀
1064,刨,7,吅,包,5,刂,2,PULN,/,刀
1065,利,7,吅,禾,5,刂,2,HDLN,/,刀
1067,别,7,吅,另,5,刂,2,RSLN,/,刀
1069,刭,7,吅,𢀖,5,刂,2,NMLN,?/,刀
1070,刮,8,吅,舌,6,刂,2,HRLN,/,刀
1072,到,8,吅,至,6,刂,2,MGLN,/,刀
1075,刳,8,吅,夸,6,刂,2,KSLN,/,刀
1078,制,8,吅,,6,刂,2,HBLN,?/,刀
1079,刷,8,吅,𡰯,6,刂,2,SBLN,?/,刀
1080,券,8,吕,龹,6,刀,2,FQSH,/,刀
1081,刹,8,吅,杀,6,刂,2,KDLN,/,刀
1082,刺,8,吅,朿,6,刂,2,DBLN,/,刀
1083,刻,8,吅,亥,6,刂,2,YOLN,/,刀
1085,刽,8,吅,会,6,刂,2,OILN,/,刀
1087,刿,8,吅,岁,6,刂,2,UNLN,/,刀
1088,剀,8,吅,岂,6,刂,2,UULN,/,刀
1089,剁,8,吅,朵,6,刂,2,HDLN,/,刀
1090,剂,8,吅,齐,6,刂,2,YLLN,/,刀
1091,剃,9,吅,弟,7,刂,2,CHLN,/,刀
1098,削,9,吅,肖,7,刂,2,FBLN,/,刀
1100,剌,9,吅,束,7,刂,2,DLLN,/,刀
1101,前,9,吕,止,3,刖,6,TBLN,*/,刀
1104,剐,9,吅,呙,7,刂,2,RBLN,/,刀
1105,剑,9,吅,佥,7,刂,2,OMLN,/,刀
1108,剔,10,吅,易,8,刂,2,AHLN,/,刀
1110,剖,10,吅,咅,8,刂,2,YRLN,/,刀
1116,剜,10,吅,宛,8,刂,2,JULN,/,刀
1118,剞,10,吅,奇,8,刂,2,KRLN,/,刀
1121,剡,10,吅,炎,8,刂,2,FFLN,/,刀
1125,剥,10,吅,录,8,刂,2,NELN,/,刀
1127,剧,10,吅,居,8,刂,2,SRLN,/,刀
1129,剩,12,吅,乘,10,刂,2,HPLN,/,刀
1130,剪,11,吕,前,9,刀,2,TBNH,/,刀
1135,副,11,吅,畐,9,刂,2,MWLN,/,刀
1138,割,12,吅,害,10,刂,2,JRLN,/,刀
1149,剽,13,吅,票,11,刂,2,MFLN,/,刀
1151,剿,14,吅,巢,12,刂,2,VDLN,/,刀
1153,劁,14,吅,焦,12,刂,2,OFLN,/,刀
1154,劂,14,吅,厥,12,刂,2,MOLN,/,刀
1160,劈,15,吕,辟,13,刀,2,SJSH,/,刀
1168,劐,16,吅,蒦,14,刂,2,TELN,/,刀
1171,劓,16,吅,鼻,14,刂,2,HLLN,/,刀
1179,力,2,一,力,2,*,0,KS,/,*
1181,劝,4,吅,又,2,力,2,EKS,/,力
1182,办,4,+,力,2,丷,2,KSC,/,力
1183,功,5,吅,工,3,力,2,MKS,/,力
1184,加,5,吅,力,2,口,3,KSR,/,力
1185,务,5,吕,夂,3,力,2,HEKS,/,力
1186,劢,5,吅,万,3,力,2,MSKS,/,力
1187,劣,6,吕,少,4,力,2,FHKS,/,力
1192,动,6,吅,云,4,力,2,MIKS,/,力
1193,助,7,吅,且,5,力,2,BMKS,/,力
1194,努,7,吕,奴,5,力,2,VEKS,/,力
1195,劫,7,吅,去,5,力,2,GIKS,/,力
1196,劬,7,吅,句,5,力,2,PRKS,/,力
1197,劭,7,吅,召,5,力,2,SRKS,/,力
1201,励,7,吅,厉,5,力,2,MSKS,/,力
